item_id,Title,CurrentPrice,MedianSold,ActiveAvg,SuggestedPrice,SupplyCount,Note,UpdateStatus
336086208094,Derek Jeter 2000 Upper Deck MVP #210 New York Yankees Legend HOF,1.85,3.13,1.84,1.85,14,Browse BIN | ActiveCache | Active median P1,
336086208095,Derek Jeter 2001 Fleer Authority #28 New York Yankees Legend HOF,2.0,1.99,1.98,1.99,9,Browse BIN | ActiveCache | Active median P1,
336086208096,Derek Jeter 1997 Fleer #168 New York Yankees Legend HOF,2.95,2.94,2.94,2.95,3,Browse BIN | ActiveCache | Active median P1,
336086208097,Bombers' Double Play Duo Derek Jeter Robinson Cano 2011 Topps Heritage #37,2.0,3.75,3.75,2.4,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
336086208098,Derek Jeter 2003 Flair #2 New York Yankees Legend HOF Captain,3.35,3.35,3.35,3.35,5,Browse BIN | ActiveCache | Active median P1,
236223332769,Derek Jeter 2002 Upper Deck #233 New York Yankees Legend HOF Captain,1.65,2.59,1.67,1.65,11,Browse BIN | ActiveCache | Active median P1,
236223332770,Derek Jeter 2007 Upper Deck #844 New York Yankees Legend HOF Captain,2.99,2.99,2.99,2.99,4,Browse BIN | ActiveCache | Active median P1,
236223332771,Derek Jeter 2003 UD Patch Collection #77 New York Yankees Legend HOF Captain,3.35,3.35,3.35,3.35,1,Browse BIN | ActiveCache | Active median P1,
236223332772,Derek Jeter 2006 Upper Deck Diamond Collection #DC-DJ New York Yankees,2.99,3.99,2.99,2.99,7,Browse BIN | ActiveCache | Active median P1,
236223332773,Derek Jeter 1999 Upper Deck View to a Thrill #V19 New York Yankees Legend HOF,2.99,4.24,2.99,2.99,12,Browse BIN | ActiveCache | Active median P1,
236223332774,Derek Jeter 2004 Upper Deck #127 New York Yankees Legend HOF Captain,2.0,2.94,2.0,2.0,5,Browse BIN | ActiveCache | Active median P1,
236223332775,Derek Jeter 2002 Bowman #2 New York Yankees Legend HOF Captain,2.0,3.49,1.99,1.99,14,Browse BIN | ActiveCache | Active median P1,
236223332776,Derek Jeter 2006 SPx #61 New York Yankees Legend HOF Captain,2.65,2.66,2.64,2.65,8,Browse BIN | ActiveCache | Active median P1,
236223332777,Derek Jeter 2013 Bowman #136 New York Yankees Legend HOF,1.95,5.95,1.95,1.95,14,Browse BIN | ActiveCache | Active median P1,
236223332778,Derek Jeter 2001 Upper Deck Vintage #161 New York Yankees Legend HOF Captain,1.79,,9.95,2.19,1,No solds | Browse BIN (Tier3) | Active median P1,Updated successfully (business policy warning only)
236223332782,Derek Jeter 2003 Upper Deck Honor Roll #2 New York Yankees Legend HOF Captain,9.49,3.35,9.48,9.49,1,Browse BIN | ActiveCache | Active median P1,
236223332783,Derek Jeter 2000 Pacific Aurora Pinstripes #98 New York Yankees Legend HOF,6.99,6.99,6.99,6.99,1,Browse BIN | ActiveCache | Active median P1,
236223332784,Derek Jeter 1999 Upper Deck Ultimate Victory #72 New York Yankees Legend HOF,34.99,34.99,34.99,34.99,3,Browse BIN | ActiveCache | Active median P1,
236223332785,Pujols Derek Jeter Prince Fielder Ortiz 2008 Upper Deck Baseball Heroes #200,5.1,5.42,5.42,5.4,1,Browse BIN | Browse BIN (Tier1) | Active median P1,Updated successfully (business policy warning only)
236223332786,Derek Jeter 1998 Pacific #151 New York Yankees Legend HOF Captain,2.37,3.89,2.25,2.25,13,Browse BIN | ActiveCache | Active median P1,
236223332787,Derek Jeter 2005 Upper Deck Pro Sigs #57 New York Yankees Legend HOF Captain,3.05,3.06,3.06,3.05,1,Browse BIN | ActiveCache | Active median P1,
